KickID,Player,FG Made,FG Attempted,PCT,Longest,1-19,20-29,30-39,40-49,50+,Extra Point Made,Extra Points Attempted,Games Played,FPTS,FPTS/G,ROST
1.0,Brandon Aubrey (DAL),40.0,47.0,85.1,65.0,0.0,4.0,8.0,14.0,14.0,30.0,30.0,17.0,192.0,11.3,94.3%
2.0,Chris Boswell (PIT),41.0,44.0,93.2,57.0,0.0,9.0,12.0,7.0,13.0,35.0,35.0,17.0,191.0,11.2,67.2%
3.0,Cameron Dicker (LAC),39.0,42.0,92.9,59.0,1.0,9.0,9.0,11.0,9.0,33.0,36.0,17.0,179.0,10.5,89.2%
4.0,Ka'imi Fairbairn (HOU),36.0,42.0,85.7,59.0,0.0,8.0,11.0,4.0,13.0,34.0,36.0,17.0,172.0,10.1,51.1%
5.0,Jason Sanders (MIA),37.0,41.0,90.2,57.0,0.0,7.0,13.0,5.0,12.0,26.0,28.0,17.0,166.0,9.8,48.7%
6.0,Chase McLaughlin (TB),30.0,32.0,93.8,56.0,0.0,11.0,7.0,4.0,8.0,54.0,56.0,17.0,164.0,9.6,53.0%
7.0,Jake Bates (DET),26.0,29.0,89.7,58.0,0.0,3.0,10.0,7.0,6.0,64.0,67.0,17.0,161.0,9.5,88.7%
8.0,Wil Lutz (DEN),31.0,34.0,91.2,55.0,0.0,2.0,13.0,11.0,5.0,46.0,46.0,17.0,160.0,9.4,24.1%
9.0,Tyler Bass (BUF),24.0,29.0,82.8,61.0,0.0,6.0,7.0,7.0,4.0,59.0,64.0,17.0,146.0,8.6,48.2%
10.0,Daniel Carlson (LV),34.0,40.0,85.0,54.0,0.0,10.0,11.0,6.0,7.0,23.0,25.0,17.0,145.0,8.5,16.8%
11.0,Justin Tucker (FA),22.0,30.0,73.3,56.0,0.0,4.0,7.0,5.0,6.0,60.0,62.0,17.0,143.0,8.4,37.2%
12.0,Jake Elliott (PHI),28.0,36.0,77.8,50.0,0.0,9.0,10.0,8.0,1.0,47.0,48.0,17.0,141.0,8.3,55.4%
13.0,Jason Myers (SEA),26.0,30.0,86.7,59.0,0.0,4.0,6.0,7.0,9.0,37.0,40.0,17.0,140.0,8.2,13.0%
14.0,Matt Gay (WAS),31.0,37.0,83.8,56.0,0.0,9.0,12.0,7.0,3.0,33.0,33.0,16.0,139.0,8.7,10.6%
15.0,Joshua Karty (LAR),29.0,34.0,85.3,58.0,0.0,10.0,9.0,4.0,6.0,32.0,36.0,17.0,135.0,7.9,12.0%
16.0,Will Reichard (MIN),24.0,30.0,80.0,58.0,0.0,5.0,6.0,5.0,8.0,38.0,38.0,13.0,131.0,10.1,13.6%
17.0,Blake Grupe (NO),27.0,31.0,87.1,57.0,0.0,4.0,10.0,7.0,6.0,31.0,33.0,17.0,131.0,7.7,6.3%
18.0,Cam Little (JAC),27.0,29.0,93.1,59.0,0.0,8.0,6.0,8.0,5.0,27.0,27.0,17.0,126.0,7.4,6.8%
19.0,Chad Ryland (ARI),28.0,32.0,87.5,58.0,0.0,6.0,11.0,7.0,4.0,26.0,27.0,13.0,125.0,9.6,5.4%
20.0,Joey Slye (TEN),26.0,33.0,78.8,63.0,0.0,5.0,10.0,5.0,6.0,25.0,26.0,17.0,120.0,7.1,2.9%
21.0,Younghoe Koo (ATL),25.0,34.0,73.5,58.0,0.0,7.0,5.0,7.0,6.0,26.0,26.0,14.0,120.0,8.6,19.0%
22.0,Jake Moody (SF),24.0,34.0,70.6,53.0,0.0,9.0,5.0,6.0,4.0,32.0,33.0,14.0,118.0,8.4,13.8%
23.0,Austin Seibert (FA),27.0,30.0,90.0,55.0,0.0,10.0,7.0,8.0,2.0,22.0,24.0,9.0,115.0,12.8,1.8%
24.0,Cairo Santos (CHI),21.0,25.0,84.0,54.0,0.0,4.0,4.0,5.0,8.0,25.0,26.0,17.0,109.0,6.4,21.4%
25.0,Nick Folk (FA),21.0,22.0,95.5,56.0,0.0,5.0,2.0,8.0,6.0,25.0,25.0,14.0,108.0,7.7,1.5%
26.0,Eddy Pineiro (FA),22.0,26.0,84.6,53.0,0.0,7.0,8.0,6.0,1.0,33.0,35.0,17.0,107.0,6.3,3.0%
27.0,Harrison Butker (KC),21.0,25.0,84.0,53.0,1.0,7.0,7.0,4.0,2.0,29.0,31.0,13.0,100.0,7.7,60.5%
28.0,Brandon McManus (GB),20.0,21.0,95.2,55.0,0.0,5.0,9.0,3.0,3.0,30.0,30.0,11.0,99.0,9.0,10.8%
29.0,Evan McPherson (CIN),16.0,22.0,72.7,56.0,0.0,6.0,4.0,3.0,3.0,37.0,38.0,12.0,94.0,7.8,34.3%
30.0,Dustin Hopkins (CLE),18.0,27.0,66.7,56.0,0.0,3.0,6.0,5.0,4.0,17.0,20.0,16.0,84.0,5.3,3.8%
31.0,Greg Joseph (FA),16.0,20.0,80.0,52.0,0.0,5.0,5.0,5.0,1.0,11.0,11.0,8.0,66.0,8.3,1.8%
32.0,Anders Carlson (NYJ),13.0,15.0,86.7,58.0,0.0,3.0,2.0,5.0,3.0,12.0,15.0,7.0,62.0,8.9,2.3%
33.0,Brayden Narveson (FA),12.0,18.0,66.7,47.0,0.0,4.0,3.0,5.0,0.0,18.0,18.0,7.0,59.0,8.4,1.4%
34.0,Matthew Wright (CAR),15.0,16.0,93.8,50.0,0.0,3.0,8.0,3.0,1.0,6.0,6.0,5.0,56.0,11.2,3.5%
35.0,Graham Gano (NYG),9.0,11.0,81.8,53.0,0.0,2.0,1.0,4.0,2.0,15.0,15.0,11.0,50.0,4.5,3.9%
36.0,Parker Romo (NE),11.0,12.0,91.7,55.0,0.0,3.0,3.0,4.0,1.0,7.0,8.0,4.0,46.0,11.5,4.0%
37.0,Cade York (FA),9.0,13.0,69.2,59.0,0.0,5.0,2.0,1.0,1.0,16.0,17.0,6.0,46.0,7.7,3.0%
38.0,Greg Zuerlein (NYJ),9.0,15.0,60.0,40.0,0.0,4.0,4.0,1.0,0.0,13.0,14.0,8.0,41.0,5.1,3.7%
39.0,Zane Gonzalez (FA),5.0,7.0,71.4,48.0,0.0,0.0,1.0,4.0,0.0,19.0,19.0,6.0,38.0,6.3,9.7%
40.0,Matt Prater (FA),6.0,6.0,100.0,57.0,0.0,1.0,1.0,3.0,1.0,10.0,10.0,4.0,33.0,8.3,2.1%
41.0,Riley Patterson (FA),4.0,7.0,57.1,52.0,0.0,0.0,3.0,0.0,1.0,16.0,16.0,5.0,30.0,6.0,0.7%
42.0,Spencer Shrader (IND),5.0,5.0,100.0,45.0,0.0,2.0,1.0,2.0,0.0,9.0,9.0,4.0,26.0,6.5,1.4%
43.0,Jude McAtamney (NYG),1.0,1.0,100.0,31.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,4.0,4.0,0.8%
44.0,Jack Browning (FA),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0%
45.0,Charlie Smyth (NO),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7%
46.0,Andre Szmyt (CLE),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2%
47.0,Lenny Krieg (ATL),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1%
48.0,Ben Sauls (PIT),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0%
49.0,Maddux Trujillo (IND),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0%
50.0,Ryan Coe (TB),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0%
51.0,Jonathan Kim (CHI),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0%
52.0,Tyler Loop (BAL),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.7%
53.0,Caden Davis (NYJ),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0%
54.0,Andy Borregales (NE),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.1%
55.0,Ryan Fitzgerald (CAR),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2%
56.0,Alex Hale (GB),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.5%
57.0,Steven Weatherford (NYJ),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0%
58.0,Ricky Schmit (SF),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0%
59.0,Zac Derr (ATL),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0%
60.0,Piotr Czech (PIT),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0%
61.0,Jason Reda (CLE),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0%
62.0,Garrett Rivas (TB),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0%
63.0,Carlos Martinez (DAL),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0%
64.0,Andrew Wellock (CAR),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0%
65.0,Parker Douglass (NYJ),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0%
66.0,Mark Hickok (NYG),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0%
67.0,MacKenzie Hoambrecker (SF),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0%
68.0,Andrew Jacas (SF),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0%
69.0,Kai Forbath (LAR),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.6%
70.0,Connor Hughes (DAL),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0%
71.0,Garrett Lindholm (ATL),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0%
72.0,Saverio Rocca (WAS),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0%
73.0,John Hoyland (BAL),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0%
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
